Url,Command,Arguments
http://opensees.berkeley.edu/wiki/index.php/Algorithm_Command,algorithm,algorithm algorithmType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Analysis_Command,analysis,analysis analysisType? <-numSublevels x -numSubSteps y>
http://opensees.berkeley.edu/wiki/index.php/Analyze_Command,analyze,analyze $numIncr <$dt> <$dtMin $dtMax $Jd>
http://opensees.berkeley.edu/wiki/index.php/Block2D_Command,block2d,block2d $nx $ny $e1 $n1 element elementArgs { 1 $x1 $y1 <$z1>;... 4 $x4 $y4 <$z4>; <5> <$x5> <$y5> <$z5>;… <9> <$x9> <$y9> <$z9>}
http://opensees.berkeley.edu/wiki/index.php/Block3D_Command,block3d,block3d $nx $ny $nz $e1 $n1 element elementArgs { 1 $x1 $y1 <$z1>;... 4 $x4 $y4 <$z4>; 5 $x5 $y5 $z5;… 8 $x8 $y8 $z8; <9> <$x9> <$y9> <$z9>;… <27> <$x27> <$y27> <$z27> }
http://opensees.berkeley.edu/wiki/index.php/Constraints_Command,constraints,constraints constraintType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/FileDataStore_command,database,database $type $dbName
http://opensees.berkeley.edu/wiki/index.php/Eigen_Command,eigen,eigen  <$solver> $numEigenvalues
http://opensees.berkeley.edu/wiki/index.php/EleLoad_Command,eleLoad,eleLoad -ele $eleTag1 <$eleTag2 ....> -type -beamUniform $Wy <$Wx>
http://opensees.berkeley.edu/wiki/index.php/EleLoad_Command,eleLoad,eleLoad -range $eleTag1 $eleTag2 -type -beamPoint $Py $xL <$Px>
http://opensees.berkeley.edu/wiki/index.php/EleLoad_Command,eleLoad,eleLoad -ele $eleTag1 <$eleTag2 ....> -type -beamUniform $Wy $Wz <$Wx>
http://opensees.berkeley.edu/wiki/index.php/EleLoad_Command,eleLoad,eleLoad -range $eleTag1 $eleTag2 -type -beamPoint $Py $Pz $xL <$Px>
http://opensees.berkeley.edu/wiki/index.php/Element_Command,element,element eleType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/EleResponse_Command,eleResponse,eleResponse $eleTag $arg1 $arg2
http://opensees.berkeley.edu/wiki/index.php/EqualDOF_command,equalDOF,equalDOF $rNodeTag $cNodeTag $dof1 $dof2 ...
http://opensees.berkeley.edu/wiki/index.php/Exit_Command,exit,exit
http://opensees.berkeley.edu/wiki/index.php/Fiber_Section,Fiber,Fiber $secTag <-GJ $GJ>
http://opensees.berkeley.edu/wiki/index.php/Fiber_Command,fiber,fiber $yLoc $zLoc $A $matTag
http://opensees.berkeley.edu/wiki/index.php/Fix_command,fix,fix $nodeTag (ndf $constrValues)
http://opensees.berkeley.edu/wiki/index.php/FixX_command,fixX,fixX $xCoordinate (ndf $ConstrValues) <-tol $tol>
http://opensees.berkeley.edu/wiki/index.php/FixY_command,fixY,fixY $yCoordinate (ndf $ConstrValues) <-tol $tol>
http://opensees.berkeley.edu/wiki/index.php/FixZ_command,fixZ,fixZ $zCoordinate (ndf $ConstrValues) <-tol $tol>
http://opensees.berkeley.edu/wiki/index.php/FrictionModel_Command,frictionModel,frictionModel frnMdlType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Geometric_Transformation_Command,geomTransf,geomTransf transfType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/GetTime_Command,getTime,getTime
http://opensees.berkeley.edu/wiki/index.php/GroundMotion_Command,groundMotion,groundMotion type? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Flexure-Shear_Interaction_Displacement-Based_Beam-Column_Element,Hfiber,Hfiber $yLoc $zLoc $A $matTag
http://opensees.berkeley.edu/wiki/index.php/ImposedMotion_Command,imposedMotion,imposedMotion $nodeTag $dirn $gMotionTag
http://opensees.berkeley.edu/wiki/index.php/Integrator_Command,integrator,integrator integratorType?
http://opensees.berkeley.edu/wiki/index.php/Layer_Command,layer,layer layerType?
http://opensees.berkeley.edu/wiki/index.php/Limit_Curve,limitCurve,limitCurve $type $arg1 $arg2 ...
http://opensees.berkeley.edu/wiki/index.php/NodalLoad_Command,load,load $nodeTag (ndf $LoadValues)
http://opensees.berkeley.edu/wiki/index.php/LoadConst_Command,loadConst,loadConst <-time $pseudoTime>
http://opensees.berkeley.edu/wiki/index.php/LogFile_Command,logFile,logFile $fileName <-append>
http://opensees.berkeley.edu/wiki/index.php/Mass_Command,mass,mass $nodeTag (ndf $massValues)
http://opensees.berkeley.edu/wiki/index.php/Model_command,model,model BasicBuilder -ndm $ndm <-ndf $ndf>
http://opensees.berkeley.edu/wiki/index.php/NDMaterial_Command,nDMaterial,nDMaterial matType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Node_command,node,node $nodeTag (ndm $coords) <-mass (ndf $massValues)>
http://opensees.berkeley.edu/wiki/index.php/NodeAccel_Command,nodeAccel,nodeAccel $nodeTag <$dof>
http://opensees.berkeley.edu/wiki/index.php/NodeBounds,NodeBounds,NodeBounds
http://opensees.berkeley.edu/wiki/index.php/NodeCoord_Command,nodeCoord,nodeCoord $nodeTag <$dim>
http://opensees.berkeley.edu/wiki/index.php/NodeDisp_Command,nodeDisp,nodeDisp $nodeTag <$dof>
http://opensees.berkeley.edu/wiki/index.php/NodeEigenvector_Command,nodeEigenvector,nodeEigenvector $nodeTag $eigenvector <$dof>
http://opensees.berkeley.edu/wiki/index.php/NodeVel_Command,nodeVel,nodeVel $nodeTag <$dof>
http://opensees.berkeley.edu/wiki/index.php/Numberer_Command,numberer,numberer numbererType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Patch_Command,patch,patch patchType?
http://opensees.berkeley.edu/wiki/index.php/Pattern_Command,pattern,pattern patternType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Plain_Pattern,Plain,Plain $patternTag $tsTag <-fact $cFactor> 
http://opensees.berkeley.edu/wiki/index.php/Print_Command,print,print <-file $fileName>
http://opensees.berkeley.edu/wiki/index.php/Print_Command,print,print -JSON -file $fileName
http://opensees.berkeley.edu/wiki/index.php/Print_Command,print,print <-file $fileName> -node <-flag $flag> <$node1 $node2 ...>
http://opensees.berkeley.edu/wiki/index.php/Print_Command,print,print <-file $fileName> -ele <-flag $flag> <$ele1 $ele2 ...>
http://opensees.berkeley.edu/wiki/index.php/PrintA_Command,printA,printA <-file $fileName>
http://opensees.berkeley.edu/wiki/index.php/PrintA,printA,printA <-file $fileName>
http://opensees.berkeley.edu/OpenSees/manuals/usermanual/1257.htm,PySimple1Gen,PySimple1Gen $file1 $file2 $file3 $file4 $file5 <$file6>
http://opensees.berkeley.edu/wiki/index.php/Rayleigh_Damping_Command,rayleigh,rayleigh $alphaM $betaK $betaKinit $betaKcomm
http://opensees.berkeley.edu/wiki/index.php/Record_Command,record,record
http://opensees.berkeley.edu/wiki/index.php/Recorder_Command,recorder,recorder recorderType? arg1? ...
http://opensees.berkeley.edu/wiki/index.php/Region_Command,region,region $regTag <-ele ($ele1 $ele2 ...)> <-eleOnly ($ele1 $ele2 ...)> <-eleRange $startEle $endEle> <-eleOnlyRange $startEle $endEle> <-node ($node1 $node2 ...)> <-nodeOnly ($node1 $node2 ...)> <-nodeRange $startNode $endNode> <-nodeOnlyRange $startNode $endNode> <-node all> <-rayleigh $alphaM $betaK $betaKinit $betaKcomm>
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove element $eleTag
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove node $nodeTag
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove loadPattern $patternTag
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove parameter $paramTag
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove recorders
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove recorder $tag
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove sp $nodeTag $dof
http://opensees.berkeley.edu/wiki/index.php/Remove_Command,remove,remove mp $constrainedNodeTag
http://opensees.berkeley.edu/wiki/index.php/Reset_Command,reset,reset
