Url,Command,Arguments
http://opensees.berkeley.edu/wiki/index.php/Twenty_Eight_Node_Brick_u-p_Element,20_8_BrickUP,element 20_8_BrickUP $eleTag  $Node1  … $Node20 $matTag  $bulk  $fmass  $PermX  $PermY $PermZ <$bX=0  $bY=0 $bZ=0>
http://opensees.berkeley.edu/wiki/index.php/Nine_Four_Node_Quad_u-p_Element,9_4_QuadUP,element 9_4_QuadUP $eleTag  $Node1  $Node2  $Node3  $Node4 $Node5  $Node6  $Node7  $Node8 $Node9 $thick $matTag  $bulk  $fmass  $hPerm  $vPerm  <$b1=0  $b2=0>
http://opensees.berkeley.edu/wiki/index.php/AC3D8,AC3D8,element AC3D8 $eleTag $node1 $node2 $node3 $node4 $node5 $node6 $node7 $node8 $matTag
http://opensees.berkeley.edu/wiki/index.php/AcousticMedium,AcousticMedium,nDMaterial AcousticMedium $matTag $K $rho 
http://opensees.berkeley.edu/wiki/index.php/Section_Aggregator,Aggregator,section Aggregator $secTag $matTag1 $dof1 $matTag2 $dof2 ....... <-section $sectionTag>
http://opensees.berkeley.edu/wiki/index.php/AMD_Numberer,AMD,numberer AMD
http://opensees.berkeley.edu/wiki/index.php/Arc-Length_Control,ArcLength,integrator ArcLength $s $alpha
http://opensees.berkeley.edu/wiki/index.php/ASI3D8,ASI3D8,element ASI3D8 $eleTag $node1 $node2 $node3 $node4 $node5 $node6 $node7 $node8
http://opensees.berkeley.edu/wiki/index.php/AV3D4,AV3D4,element AV3D4 $eleTag $node1 $node2 $node3 $node4 $matTag
http://opensees.berkeley.edu/wiki/index.php/Axial_LimitCurve,Axial,limitCurve Axial $curveTag $eleTag $Fsw $Kdeg $Fres $defType $forType <$ndI $ndJ $dof $perpDirn $delta>
http://opensees.berkeley.edu/wiki/index.php/AxialSp_Material,AxialSp,uniaxialMaterial AxialSp $matTag $sce $fty $fcy <$bte $bty $bcy $fcr> 
http://opensees.berkeley.edu/wiki/index.php/AxialSpHD_Material,AxialSpHD,uniaxialMaterial AxialSpHD $matTag $sce $fty $fcy <$bte $bty $bth $bcy $fcr $ath> 
http://opensees.berkeley.edu/wiki/index.php/BandGeneral_SOE,BandGeneral,system BandGeneral
http://opensees.berkeley.edu/wiki/index.php/BandSPD_SOE,BandSPD,system BandSPD
http://opensees.berkeley.edu/wiki/index.php/BARSLIP_Material,BarSlip,uniaxialMaterial BarSlip $matTag $fc $fy $Es $fu $Eh $db $ld $nb $depth $height <$ancLratio> $bsFlag $type <$damage $unit>
http://opensees.berkeley.edu/wiki/index.php/Model_command,BasicBuilder,model BasicBuilder -ndm $ndm <-ndf $ndf>
http://opensees.berkeley.edu/wiki/index.php/Database_command,BasicBuilder,model BasicBuilder -ndm $ndm <-ndf $ndf>
http://opensees.berkeley.edu/wiki/index.php/Bbar_Brick_Element,bbarBrick,element bbarBrick $eleTag $node1 $node2 $node3 $node4 $node5 $node6 $node7 $node8 $matTag <$b1 $b2 $b3>
http://opensees.berkeley.edu/wiki/index.php/BbarBrick_u-p_Element,bbarBrickUP,element bbarBrickUP $eleTag  $Node1  $Node2  $Node3  $Node4 $Node5  $Node6  $Node7  $Node8 $matTag  $bulk  $fmass  $PermX  $PermY $PermZ <$bX=0  $bY=0 $bZ=0>
http://opensees.berkeley.edu/wiki/index.php/Bbar_Plane_Strain_Quadrilateral_Element,bbarQuad,element bbarQuad $eleTag $iNode $jNode $kNode $lNode $thick $matTag
http://opensees.berkeley.edu/wiki/index.php/BbarQuad_u-p_Element,bbarQuadUP,element bbarQuadUP $eleTag  $iNode  $jNode  $kNode  $lNode $thick  $matTag  $bulk  $fmass  $hPerm  $vPerm  <$b1=0  $b2=0  $t=0>
http://opensees.berkeley.edu/wiki/index.php/BeamColumnJoint_Element,beamColumnJoint,element beamColumnJoint $eleTag $Nd1 $Nd2 $Nd3 $Nd4 $Mat1 $Mat2 $Mat3 $Mat4 $Mat5 $Mat6 $Mat7 $Mat8 $Mat9 $Mat10 $Mat11 $Mat12 $Mat13 <$eleHeightFac $eleWidthFac>
http://opensees.berkeley.edu/wiki/index.php/BeamContact2D,BeamContact2D,element BeamContact2D $eleTag $iNode $jNode $sNode $lNode $matTag $width $gTol $fTol <$cFlag$>
http://opensees.berkeley.edu/wiki/index.php/BeamContact3D,BeamContact3D,element BeamContact3D $eleTag $iNode $jNode $sNode $lNode $radius $crdTransf $matTag $gTol $fTol <$cFlag$>
http://opensees.berkeley.edu/wiki/index.php/BeamEndContact3D,BeamEndContact3D,element BeamEndContact3D $eleTag $iNode $jNode $sNode $lNode $radius $gTol $fTol <$cFlag$>
http://opensees.berkeley.edu/wiki/index.php/Beam_With_Hinges_Element,beamWithHinges,element beamWithHinges $eleTag $iNode $jNode $secTagI $Lpi $secTagJ $Lpj $E $A $Iz $transfTag <-mass $massDens> <-iter $maxIters $tol>
http://opensees.berkeley.edu/wiki/index.php/Beam_With_Hinges_Element,beamWithHinges,element beamWithHinges $eleTag $iNode $jNode $secTagI $Lpi $secTagJ $Lpj $E $A $Iz $Iy $G $J $transfTag <-mass $massDens> <-iter $maxIters $tol>
http://opensees.berkeley.edu/wiki/index.php/BFGS_Algorithm,BFGS,algorithm BFGS
http://opensees.berkeley.edu/wiki/index.php/Bidirectional_Section,Bidirectional,section Bidirectional $secTag $E $Fy $Hiso $Hkin <$code1 $code2>
http://opensees.berkeley.edu/wiki/index.php/Bilin_Material,Bilin,uniaxialMaterial Bilin  $matTag  $K0  $as_Plus  $as_Neg  $My_Plus  $My_Neg  $Lamda_S  $Lamda_C  $Lamda_A  $Lamda_K  $c_S  $c_C  $c_A  $c_K  $theta_p_Plus  $theta_p_Neg  $theta_pc_Plus  $theta_pc_Neg  $Res_Pos  $Res_Neg  $theta_u_Plus  $theta_u_Neg  $D_Plus  $D_Neg <$nFactor>
http://opensees.berkeley.edu/wiki/index.php/Modified_Ibarra-Medina-Krawinkler_Deterioration_Model_with_Bilinear_Hysteretic_Response_(Bilin_Material),Bilin,uniaxialMaterial Bilin  $matTag  $K0  $as_Plus  $as_Neg  $My_Plus  $My_Neg  $Lamda_S  $Lamda_C  $Lamda_A  $Lamda_K  $c_S  $c_C  $c_A  $c_K  $theta_p_Plus  $theta_p_Neg  $theta_pc_Plus  $theta_pc_Neg  $Res_Pos  $Res_Neg  $theta_u_Plus  $theta_u_Neg  $D_Plus  $D_Neg <$nFactor>
http://opensees.berkeley.edu/wiki/index.php/BilinearOilDamper_Material,BilinearOilDamper,uniaxialMaterial BilinearOilDamper  $matTag  $K $Cd <$Fr $p> <$LGap> < $NM $RelTol $AbsTol $MaxHalf> 
http://opensees.berkeley.edu/wiki/index.php/Bond_SP01_-_-_Strain_Penetration_Model_for_Fully_Anchored_Steel_Reinforcing_Bars,Bond_SP01,uniaxialMaterial Bond_SP01 $matTag $Fy $Sy $Fu $Su $b $R
http://opensees.berkeley.edu/wiki/index.php/BoucWen_Material,BoucWen,uniaxialMaterial BoucWen $matTag $alpha $ko $n $gamma $beta $Ao $deltaA $deltaNu $deltaEta 
http://opensees.berkeley.edu/wiki/index.php/Bounding_Cam_Clay,BoundingCamClay,nDMaterial BoundingCamClay $matTag $massDensity $C $bulkMod $OCR $mu_o $alpha $lambda $h $m
http://opensees.berkeley.edu/OpenSees/manuals/usermanual/734.htm,Brick20N,element Brick20N $eletag $node1 $node2 $node3 $node4 $node5 $node6 $node7 $node8 $node9 $node10 $node11 $node12 $node13 $node14 $node15 $node16 $node17 $node18 $node19 $node20 $matTag $bf1 $bf2 $bf3 $massDen
http://opensees.berkeley.edu/wiki/index.php/Brick_u-p_Element,brickUP,element brickUP $eleTag  $Node1  $Node2  $Node3  $Node4 $Node5  $Node6  $Node7  $Node8 $matTag  $bulk  $fmass  $PermX  $PermY $PermZ <$bX=0  $bY=0 $bZ=0>
http://opensees.berkeley.edu/wiki/index.php/Broyden_Algorithm,Broyden,algorithm Broyden <$count>
http://opensees.berkeley.edu/wiki/index.php/BWBN_Material,BWBN,uniaxialMaterial BWBN $matTag $alpha $ko $n $gamma $beta $Ao $q $zetas $p $Shi $deltaShi $lambda $tol $maxIter 
http://opensees.berkeley.edu/wiki/index.php/CastFuse_Material,Cast,uniaxialMaterial Cast  $matTag  $n $bo $h $fy $E $L $b $Ro $cR1 $cR2 <$a1 $a2 $a3 $a4>
http://opensees.berkeley.edu/wiki/index.php/CatenaryCableElement,CatenaryCable,element CatenaryCable $tag $iNode $jNode $weight $E $A $L0 $alpha $temperature_change $rho $errorTol $Nsubsteps $massType
http://opensees.berkeley.edu/wiki/index.php/Central_Difference,CentralDifference,integrator CentralDifference
http://opensees.berkeley.edu/wiki/index.php/CFSSSWP,CFSSSWP,uniaxialMaterial CFSSSWP $tag $height $width $fuf $fyf $tf $Af $fus $fys $ts $np $ds $Vs $sc $dt $openingArea $openingLength
http://opensees.berkeley.edu/wiki/index.php/CFSWSWP,CFSWSWP,uniaxialMaterial CFSWSWP $tag $height $width $fut $tf $Ife $Ifi $ts $np $ds $Vs $sc $nc $type $openingArea $openingLength
http://opensees.berkeley.edu/wiki/index.php/Patch_Command,circ,patch circ $matTag $numSubdivCirc $numSubdivRad $yCenter $zCenter $intRad $extRad $startAng $endAng
http://opensees.berkeley.edu/wiki/index.php/Layer_Command,circ,layer circ $matTag $numFiber $areaFiber $yCenter $zCenter $radius <$startAng $endAng>
http://opensees.berkeley.edu/wiki/index.php/Concrete01_Material_--_Zero_Tensile_Strength,Concrete01,uniaxialMaterial Concrete01 $matTag $fpc $epsc0 $fpcu $epsU
http://opensees.berkeley.edu/wiki/index.php/Concrete01_Material_With_Stuff_in_the_Cracks,Concrete01WithSITC,uniaxialMaterial Concrete01WithSITC $matTag $fpc $epsc0 $fpcu $epsU <$endStrainSITC>
http://opensees.berkeley.edu/wiki/index.php/Concrete02_Material_--_Linear_Tension_Softening,Concrete02,uniaxialMaterial Concrete02 $matTag $fpc $epsc0 $fpcu $epsU $lambda $ft $Ets
http://opensees.berkeley.edu/wiki/index.php/Concrete04_Material_--_Popovics_Concrete_Material,Concrete04,uniaxialMaterial Concrete04 $matTag $fc $ec $ecu $Ec <$fct $et> <$beta>
http://opensees.berkeley.edu/wiki/index.php/Concrete06_Material,Concrete06,uniaxialMaterial Concrete06 $matTag $fc $e0 $n $k $alpha1 $fcr $ecr $b $alpha2
http://opensees.berkeley.edu/wiki/index.php/Concrete07_%E2%80%93_Chang_%26_Mander%E2%80%99s_1994_Concrete_Model,Concrete07,uniaxialMaterial Concrete07 $matTag $fc $ec $Ec $ft $et $xp $xn $r
http://opensees.berkeley.edu/wiki/index.php/User_talk:Kkolozvari,ConcreteCM,uniaxialMaterial ConcreteCM $mattag  $fpcc  $epcc $Ec $rc $xcrn  $ft  $et  $rt  $xcrp <-GapClose $gap>
http://opensees.berkeley.edu/wiki/index.php/ConcreteCM_-_Complete_Concrete_Model_by_Chang_and_Mander_(1994),ConcreteCM,uniaxialMaterial ConcreteCM $mattag  $fpcc  $epcc $Ec $rc $xcrn  $ft  $et  $rt  $xcrp <-GapClose $gap>
http://opensees.berkeley.edu/wiki/index.php/ConcreteD,ConcreteD,uniaxialMaterial ConcreteD $matTag $fc $epsc $ft $epst $Ec $alphac $alphat <$cesp> <$etap>
http://opensees.berkeley.edu/wiki/index.php/Plane_Stress_Concrete_Materials,ConcreteL01,uniaxialMaterial ConcreteL01 tag? fpc? epsc0?
http://opensees.berkeley.edu/wiki/index.php/Plane_Stress_Concrete_Materials,ConcreteZ01,uniaxialMaterial ConcreteZ01 tag? fpc? epsc0?
http://opensees.berkeley.edu/wiki/index.php/ConfinedConcrete01_Material,ConfinedConcrete01,uniaxialMaterial ConfinedConcrete01 $tag $secType $fpc $Ec (<-epscu $epscu>  OR <-gamma $gamma>)  (<-nu $nu> OR <-varub> OR <-varnoub>) $L1 ($L2) ($L3) $phis $S $fyh $Es0 $haRatio $mu $phiLon <-internal $phisi $Si $fyhi $Es0i $haRatioi $mui> <-wrap $cover $Am $Sw $fuil $Es0w> <-gravel> <-silica> <-tol $tol> <-maxNumIter $maxNumIter> <-epscuLimit $epscuLimit> <-stRatio $stRatio>
